ad_id,funnel,angle,concept,product,hook,headline_cta,caption,ad_description
MOF-001,MOF,M-RITUAL,Make it a ritual,Coffee Scrub,Your shower called. It wants to be a ritual.,Make your shower a ritual.,"Ten quiet minutes. Cold-pressed coffee, raw cane sugar, steam. The smallest ritual that makes the whole day feel handled. Meet the Coffee Scrub.",The body ritual worth slowing down for.
MOF-002,MOF,M-RITUAL,Make it a ritual,Body care range,Self-care isn't selfish. It's maintenance.,Start your daily ritual.,"Self-care isn't selfish — it's maintenance. Bookend your day with something that's only for you. Body care, made to be felt.",Body care that earns its place in your routine.
MOF-003,MOF,M-RITUAL,Make it a ritual,Coffee Scrub + Soap,The five minutes that change the other 23 hours.,Take the five minutes.,"Scrub, soak, breathe. Five minutes that quietly change the other twenty-three hours. Your reset starts in the shower.",A five-minute reset for body and mind.
MOF-004,MOF,M-RITUAL,Make it a ritual,Coffee Scrub,Romanticize the mundane. Start with your shower.,Romanticize your routine.,"Texture, warmth, scent — the small luxuries that add up. Romanticize the mundane, starting with your shower. The Coffee Scrub.",The everyday ritual that feels like a treat.
MOF-005,MOF,M-RITUAL,Heritage ritual,Brand range,Some rituals are inherited. This one's worth keeping.,Keep the ritual.,"Some rituals are inherited — and some are worth keeping. Body care made the slow way, the way it was always meant to be. Meet CoBa's Daughter.","Heritage body care, made the slow way."
MOF-006,MOF,M-RITUAL,PM wind-down,Soap + Scrub,Wash the day off. Properly.,Wash the day off.,"An end-of-day ritual for skin that's had enough. Lather, scrub, reset — and actually feel the day leave. Your PM wind-down, sorted.",The grounding ritual your evenings were missing.
MOF-007,MOF,M-RITUAL,Glow is a habit,Coffee Scrub,"Glow is a habit, not an accident.",Build the glow habit.,"Glow isn't an accident — it's a habit. Two minutes of scrub, three times a week. That's the whole secret. The Coffee Scrub.","Two minutes, three times a week. That's it."
MOF-008,MOF,M-RITUAL,Beautiful bathroom,Range + Rattan,Make your bathroom the nicest room in the house.,Upgrade your bathroom.,Make the smallest room the nicest one. Objects and rituals worth slowing down for — body care that looks as good as it feels.,Body care beautiful enough to leave on display.
MOF-009,MOF,M-SENSE,Scent story,Coffee Scrub,It smells like a slow morning in a warm kitchen.,Find your new favourite scent.,"It smells like a slow morning in a warm kitchen. Real coffee, raw sugar — nothing synthetic pretending to be. The Coffee Scrub.",Real coffee. Real scent. Nothing fake.
MOF-010,MOF,M-SENSE,Texture proof,Coffee Scrub,Texture you can feel working.,Feel the texture.,"Grains that melt as they buff — never sandpaper, never slip. The kind of texture you can feel working. Meet the Coffee Scrub.",Exfoliation you can actually feel working.
MOF-011,MOF,M-SENSE,Aromatherapy,Soap Trio,"Aromatherapy, minus the woo.",Find your calm.,"Aromatherapy, minus the woo. Scents that actually slow your breathing down. The 3-in-1 Soap Trio.",Scents that quietly change your mood.
MOF-012,MOF,M-SENSE,Cooling sensory,Aloe Gel,The first cold gel of summer on warm skin.,Cool down.,"The first cold gel of summer on warm skin. Instant relief that sinks in — never sticky, never greasy. Pure Aloe Gel.",Cooling relief that disappears into skin.
MOF-013,MOF,M-SENSE,Escape,Range,Close your eyes. You're not in the shower anymore.,Escape your Tuesday.,"Close your eyes — you're not in the shower anymore. Scent that takes you somewhere, even on a Tuesday. Body care as a small escape.","A sensory escape, built into your shower."
MOF-014,MOF,M-SENSE,Smells expensive,Range,Skin that smells expensive. (Quietly.),Smell expensive.,Skin that smells expensive — quietly. The kind of scent people lean in to ask about. Find your signature.,The 'what are you wearing?' kind of scent.
MOF-015,MOF,M-SENSE,Addictive cool,Aloe Gel,"Cool, clean, and a little addictive.",Try the aloe.,"Cool, clean, and a little addictive. Aloe gel that disappears into skin and takes the heat with it. You'll reach for it daily.",Lightweight aloe you'll reach for daily.
MOF-016,MOF,M-SENSE,Coffee mood,Coffee Scrub,"Coffee for your skin, not your nerves.",Wake up your skin.,"Coffee for your skin, not your nerves. All the ritual of your morning cup — none of the jitters. The Coffee Scrub.","Your morning coffee, reimagined for skin."
MOF-017,MOF,M-RESULT,Fast smooth,Coffee Scrub,Smoother in one shower. We timed it.,See it in one shower.,Smoother in one shower — we timed it. Buff away the dull and reveal the skin that was always there. Exfoliate + nourish.,Visibly smoother skin after one wash.
MOF-018,MOF,M-RESULT,Bumpy arms,Coffee Scrub,"Goodbye, bumpy arms.",Smooth the rough spots.,"Goodbye, bumpy arms. Gentle exfoliation for the rough patches nobody talks about. The Coffee Scrub does the quiet work.","Gentle exfoliation for rough, bumpy skin."
MOF-019,MOF,M-RESULT,Razor bumps,Coffee Scrub + Aloe Gel,Razor bumps didn't stand a chance.,Shave smarter.,"Razor bumps didn't stand a chance. Exfoliate before, soothe after — smooth, settled skin every time. Scrub + Aloe.","Exfoliate before, soothe after. Smooth skin."
MOF-020,MOF,M-RESULT,Compliment glow,Coffee Scrub,The 'what are you using?' kind of glow.,Get the glow.,"The 'what are you using?' kind of glow. Soft, lit-from-within skin from the neck down. The Coffee Scrub.","Lit-from-within glow, head to toe."
MOF-021,MOF,M-RESULT,Tan prep,Coffee Scrub,"Self-tan, but make it even.",Prep your glow.,"Self-tan, but make it even. Exfoliate first and watch your glow go on flawless — no patches, no streaks. The Coffee Scrub.",The exfoliating prep step for a flawless tan.
MOF-022,MOF,M-RESULT,After-sun,Aloe Gel,Sunburn's worst enemy.,Soothe the burn.,Sunburn's worst enemy. Pure aloe that calms the heat and saves the weekend. Keep the Aloe Gel close.,Pure aloe that calms heat on contact.
MOF-023,MOF,M-RESULT,Body = face,Exfoliate & Nourish Set,Soft enough to notice. Every time you sit down.,Feel the difference.,Soft enough to notice — every time you sit down. Body skin that finally feels as cared-for as your face. The Exfoliate & Nourish Set.,Body skin as cared-for as your face.
MOF-024,MOF,M-RESULT,Routine,Exfoliate & Nourish Set,Your body skincare routine has been waiting.,Build your routine.,"Your body skincare routine has been waiting. Exfoliate, nourish, repeat — results you can actually feel. The Exfoliate & Nourish Set.","Exfoliate, nourish, repeat — feelable results."
MOF-025,MOF,M-CLEAN,Short list,Coffee Scrub,Ingredients you can pronounce. That's the point.,Read the label.,"Ingredients you can pronounce — that's the point. Coffee, sugar, oil. That's the whole list. The Coffee Scrub.","Coffee, sugar, oil. Nothing to hide."
MOF-026,MOF,M-CLEAN,Slow made,Brand,Made the slow way. On purpose.,Meet the maker.,"Made the slow way, on purpose. Small batches, real ingredients, no shortcuts. This is body care with intention.","Small-batch body care, made with intention."
MOF-027,MOF,M-CLEAN,Food-grade,Coffee Scrub,"If it's not good enough to eat, it's not going on your skin.",See what's inside.,"If it's not good enough to eat, it's not going on your skin. Food-grade ingredients, head to toe. The Coffee Scrub.","Food-grade ingredients, head to toe."
MOF-028,MOF,M-CLEAN,Free-from,Range,No synthetic fragrance. No fake glow. No filler.,Shop clean.,No synthetic fragrance. No fake glow. No filler. Just what your skin actually wants — and nothing it doesn't.,Clean formulas. Nothing your skin doesn't need.
MOF-029,MOF,M-CLEAN,Real aloe,Aloe Gel,The aloe inside is actually aloe.,Check the gel.,"The aloe inside is actually aloe — not water with a green tint and a promise. Real, high-percentage Aloe Gel.","Real aloe, not water with a green tint."
MOF-030,MOF,M-CLEAN,Cruelty-free,Brand,"Cruelty-free, because obviously.",Feel good about it.,"Cruelty-free, because obviously. Kind to your skin, kinder to everything else. Body care you can feel good about.","Cruelty-free body care, always."
MOF-031,MOF,M-CLEAN,Nothing extra,Range,We left out everything your skin doesn't need.,Discover why.,We left out everything your skin doesn't need — and kept the ingredients that earn their place. Intentional by design.,Only the ingredients that earn their place.
MOF-032,MOF,M-CLEAN,Heritage jar,Brand,Heritage in a jar.,Discover the story.,"Heritage in a jar. Rooted in Vietnamese ritual, made for everyday skin. Meet CoBa's Daughter.",Body care rooted in Vietnamese ritual.
MOF-033,MOF,M-GIFT,Thoughtful,Rattan Valise,The gift that says 'I actually thought about this.',Find the gift.,"The gift that says 'I actually thought about this.' Beautiful enough to give, good enough they'll rebuy. The Rattan Valise.",A gift beautiful enough to give twice.
MOF-034,MOF,M-GIFT,Not another candle,Exfoliate & Nourish Set,Skip the candle. Again.,Skip the candle.,"Skip the candle — again. Give a gift she'll use every single day, not shelve. The Exfoliate & Nourish Set.",The gift she'll actually use every day.
MOF-035,MOF,M-GIFT,Keepsake,Rattan Basket,"Hand-woven rattan, filled with the good stuff.",See the gift sets.,"Hand-woven rattan, filled with the good stuff. A keepsake basket she'll keep long after the last scrub. The Rattan Basket.","A rattan keepsake, filled with bestsellers."
MOF-036,MOF,M-GIFT,Their turn,Rattan Valise,For the person who buys everyone else's gifts.,Shop their gift.,"For the person who buys everyone else's gifts — it's their turn. Make it easy, make it beautiful. The Rattan Valise.",A considered gift for the gift-giver.
MOF-037,MOF,M-GIFT,Travels well,Rattan Valise,A gift that travels well.,Discover the valise.,A gift that travels well. The Rattan Valise looks as good on a shelf as it does in a suitcase. Beautifully practical.,The rattan valise that goes everywhere.
MOF-038,MOF,M-GIFT,Anniversary,Gift Set,Anniversaries deserve more than flowers that die.,Find the anniversary gift.,"Anniversaries deserve more than flowers that die. Give a ritual that lasts longer than a bouquet. Body care, beautifully gifted.",A gift that outlasts the bouquet.
MOF-039,MOF,M-GIFT,Gift-ready,Gift Set,"Wrapped, ribboned, and ready to impress.",Explore gift sets.,"Wrapped, ribboned, and ready to impress. Gifting handled — you just sign the card. The gift sets are here.",Gift-ready sets. You just sign the card.
MOF-040,MOF,M-GIFT,Foolproof,Exfoliate & Nourish Set,"Give the glow, not the guesswork.",Shop the gift set.,"Give the glow, not the guesswork. A body care set anyone will be happy to unwrap. The Exfoliate & Nourish Set.",The foolproof gift for anyone.
BOF-041,BOF,B-SCRUBDUO,Save $15,Scrub Duo,Two scrubs. One smoother you.,Shop the Scrub Duo.,"Two scrubs, one smoother you. The Scrub Duo is $69 (was $84) — that's $15 back in your pocket. Stock up on the bestseller.","Scrub Duo — $69, save $15."
BOF-042,BOF,B-SCRUBDUO,Double glow,Scrub Duo,Double the glow for $15 less.,Get the duo.,"Double the glow for $15 less. Our bestselling Coffee Scrub, now in a duo for $69. Smooth skin, sorted.","Two coffee scrubs, $69. Save $15."
BOF-043,BOF,B-SCRUBDUO,Keep+give,Scrub Duo,One for the shower. One for the gift bag.,Shop the duo.,"One for the shower, one for the gift bag. The Scrub Duo is $69 — keep one, give one, save $15.","Scrub Duo, $69 — keep one, gift one."
BOF-044,BOF,B-SCRUBDUO,Stock up,Scrub Duo,Never run out of your favorite scrub again.,Stock up now.,Never run out of your favourite scrub again. Grab the Scrub Duo for $69 and save $15. Future-you says thanks.,"Scrub Duo — $69, save $15."
BOF-045,BOF,B-SCRUBDUO,Twice over,Scrub Duo,"Smooth skin, twice over.",Buy the duo.,"Smooth skin, twice over. The Scrub Duo is $69 instead of $84 — the easiest $15 you'll save all week.",Two coffee scrubs for $69.
BOF-046,BOF,B-SCRUBDUO,Bestseller duo,Scrub Duo,"Your bestseller, now buy-in-twos.",Shop the bestseller duo.,"Your bestseller, now buy-in-twos. Two Coffee Scrubs for $69 — save $15 on the one everyone repurchases.","Bestselling scrub, now a $69 duo."
BOF-047,BOF,B-SCRUBDUO,Urgency,Scrub Duo,The duo that disappears fastest.,Grab the duo.,"The duo that disappears fastest. Scrub Duo, $69 (was $84) — while it lasts. Save $15 before it's gone.","Scrub Duo, $69 — while it lasts."
BOF-048,BOF,B-SCRUBDUO,Easy math,Scrub Duo,$15 off your smoothest skin yet.,Shop the Scrub Duo.,"$15 off your smoothest skin yet. Two coffee scrubs, one easy decision — the Scrub Duo is $69.","Scrub Duo — $69, save $15."
BOF-049,BOF,B-ALOEDUO,Save $5,Aloe Duo,"Cool skin, doubled.",Shop the Aloe Duo.,"Cool skin, doubled. The Aloe Duo is $59 (was $64) — cooling relief for home and away. Save $5.","Aloe Duo — $59, save $5."
BOF-050,BOF,B-ALOEDUO,Home+away,Aloe Duo,One by the bed. One in the bag.,Get the duo.,"One by the bed, one in the bag. The Aloe Duo is $59 — cooling relief, everywhere you need it. Save $5.","Two aloe gels, $59. Save $5."
BOF-051,BOF,B-ALOEDUO,Sunburn season,Aloe Duo,"Sunburn season, sorted.",Stock up now.,"Sunburn season, sorted. Two pure aloe gels for $59 — be ready before the first burn. The Aloe Duo.","Aloe Duo — $59, be ready."
BOF-052,BOF,B-ALOEDUO,Cool-down,Aloe Duo,Twice the cool-down for $5 less.,Buy the duo.,Twice the cool-down for $5 less. The Aloe Duo is $59 instead of $64. Keep calm and reapply.,Two aloe gels for $59.
BOF-053,BOF,B-ALOEDUO,Never search,Aloe Duo,Never search for your aloe again.,Shop the duo.,"Never search for your aloe again. The Aloe Duo is $59 — one for home, one for away. Save $5.","Aloe Duo — $59, save $5."
BOF-054,BOF,B-ALOEDUO,Buy in twos,Aloe Duo,"Cooling relief, buy-in-twos.",Grab the duo.,"Cooling relief, buy-in-twos. Two pure aloe gels for $59 — because one is never quite enough.",Two aloe gels for $59.
BOF-055,BOF,B-ALOEDUO,After-sun,Aloe Duo,The after-sun your skin will thank you for.,Soothe and save.,"The after-sun your skin will thank you for. The Aloe Duo is $59 (was $64) — cool, calm, save $5.","Aloe Duo — $59, save $5."
BOF-056,BOF,B-ALOEDUO,In pairs,Aloe Duo,Hydration that travels in pairs.,Shop the Aloe Duo.,Hydration that travels in pairs. Two aloe gels for $59 — save $5 and never go without.,"Aloe Duo — $59, save $5."
BOF-057,BOF,B-SOAPTRIO,Buy 3 for 2,3in1 Soap Trio,"Buy 3, pay for 2.",Shop the trio.,"Buy 3, pay for 2. The 3-in-1 Soap Trio is $72 instead of $108 — three bars, the price of two.","Soap Trio — buy 3 for 2, $72."
BOF-058,BOF,B-SOAPTRIO,Save $36,3in1 Soap Trio,Three soaps. The price of two.,Get the trio.,"Three soaps, the price of two. The Soap Trio is $72 — that's $36 saved. Stock the soap dish.","Soap Trio — $72, save $36."
BOF-059,BOF,B-SOAPTRIO,Never enough,3in1 Soap Trio,One bar's never enough. Good thing there's three.,Shop now.,"One bar's never enough — good thing there's three. Buy 3 for 2 with the Soap Trio, just $72.","Soap Trio — buy 3 for 2, $72."
BOF-060,BOF,B-SOAPTRIO,Repeat,3in1 Soap Trio,"Cleanse, lather, repeat — three times over.",Buy the trio.,"Cleanse, lather, repeat — three times over. The 3-in-1 Soap Trio is $72 (was $108). Buy 3 for 2.","Soap Trio — $72, save $36."
BOF-061,BOF,B-SOAPTRIO,Keep+gift,3in1 Soap Trio,Keep one. Gift two. (Or keep all three.),Shop the trio.,"Keep one, gift two — or keep all three. Buy 3 for 2 with the Soap Trio, just $72.","Soap Trio — buy 3 for 2, $72."
BOF-062,BOF,B-SOAPTRIO,Third free,3in1 Soap Trio,Your free third bar is waiting.,Claim your free bar.,Your free third bar is waiting. Buy 3 for 2 with the 3-in-1 Soap Trio — three bars for $72.,"Buy 2 soaps, get the 3rd free — $72."
BOF-063,BOF,B-SOAPTRIO,Spa x3,3in1 Soap Trio,The soap that turns showers into spa time. ×3.,Get the trio.,"The soap that turns showers into spa time — times three. $72 for the Soap Trio, save $36. Buy 3 for 2.","Soap Trio — buy 3 for 2, $72."
BOF-064,BOF,B-SOAPTRIO,Stock dish,3in1 Soap Trio,Stock the soap dish for a season.,Shop the Soap Trio.,Stock the soap dish for a season. Buy 3 for 2 — the Soap Trio is $72 (was $108). Save $36.,"Soap Trio — $72, save $36."
BOF-065,BOF,B-SHIP,Ships free,Bestsellers,Your glow ships free.,Shop now.,Your glow ships free. Orders over $50 get free US shipping — fill your cart and let it land at your door.,Free US shipping on orders $50+.
BOF-066,BOF,B-SHIP,Add one more,Range,Add one more. Shipping's on us at $50.,Reach free shipping.,Add one more — shipping's on us at $50. Free US shipping when you cross the line. Your skin says go for it.,Free US shipping over $50.
BOF-067,BOF,B-SHIP,Easy math,Bestsellers,Treat yourself + free shipping. Easy math.,Build your order.,"Treat yourself plus free shipping — easy math. Spend $50, ship free across the US. Stock up on the good stuff.","Spend $50, ship free."
BOF-068,BOF,B-SHIP,Almost there,Range,Almost at $50? Your skin says go for it.,Top up and ship free.,Almost at $50? Your skin says go for it. Free US shipping kicks in the moment you cross $50.,Free US shipping at $50+.
BOF-069,BOF,B-SHIP,Bestsellers,Hero SKUs,Bestsellers in. Shipping out — free.,Shop bestsellers.,"Bestsellers in, shipping out — free. Orders over $50 ship free across the US. Start with the Coffee Scrub.",Free US shipping on orders $50+.
BOF-070,BOF,B-SHIP,Worth it,Range,The glow's worth it. The shipping's free.,Shop the edit.,The glow's worth it — the shipping's free. Free US delivery on every order over $50. Treat your skin.,Free US shipping over $50.
BOF-071,BOF,B-SHIP,One order,Range,Everything you've been eyeing. One order. Free shipping.,Fill your cart.,"Everything you've been eyeing, one order, free shipping. Orders $50+ ship free across the US.",Free US shipping on $50+.
BOF-072,BOF,B-SHIP,Skip the fee,Range,"Skip the shipping fee, not the self-care.",Shop now.,"Skip the shipping fee, not the self-care. Free US shipping on every order over $50. The good stuff, delivered.",Free US shipping over $50.
BOF-073,BOF,B-HERO,10k showers,Coffee Scrub,"Meet the scrub 10,000 showers swear by.",Shop the Coffee Scrub.,"Meet the scrub 10,000 showers swear by. Cold-pressed coffee, raw sugar, smoother skin in one wash. Our #1 bestseller.",Our #1 bestselling Coffee Scrub.
BOF-074,BOF,B-HERO,The one,Coffee Scrub,The Coffee Scrub. The one everyone means.,Shop the hero.,"The Coffee Scrub — the one everyone means. Cold-pressed coffee + raw sugar, visibly smoother skin in one wash.",The bestselling Coffee Scrub.
BOF-075,BOF,B-HERO,Bedside aloe,Aloe Gel,The aloe gel that earns its spot by your bed.,Shop the Aloe Gel.,"The aloe gel that earns its spot by your bed. Cooling, fast-absorbing, endlessly reached-for. Our bestselling Aloe Gel.","Our bestselling, fast-absorbing Aloe Gel."
BOF-076,BOF,B-HERO,Back in stock,Coffee Scrub,Sold out twice. Back for good.,Get it now.,Sold out twice. Back for good. The Coffee Scrub everyone waited for is back in stock — don't miss it again.,Back in stock: the Coffee Scrub.
BOF-077,BOF,B-HERO,Start here,Coffee Scrub,"If you buy one thing, make it this.",Shop the Coffee Scrub.,"If you buy one thing, make it this. The Coffee Scrub is where everyone starts — and where most people stay.",Start here: the bestselling Coffee Scrub.
BOF-078,BOF,B-HERO,Reviews,Coffee Scrub,"5 stars, 2,000+ times over.",See the reviews.,"5 stars, 2,000+ times over. The Coffee Scrub our reviewers can't stop talking about. See what the fuss is about.","5 stars, 2,000+ reviews."
BOF-079,BOF,B-HERO,Does the most,Aloe Gel,The aloe gel that does the most by doing the least.,Shop the Aloe Gel.,"The aloe gel that does the most by doing the least. One hero ingredient, endless uses. Our bestselling Aloe Gel.",One-ingredient hero. Endless uses.
BOF-080,BOF,B-HERO,Worth the hype,Coffee Scrub,Your shelf called. It wants the bestseller.,Shop now.,Your shelf called — it wants the bestseller. The Coffee Scrub is the one worth the hype. See for yourself.,"The #1 bestseller, worth the hype."
BOF-081,BOF,B-GIFTSET,Handled,Rattan Valise,"Gifting, beautifully handled.",Shop the gift set.,"Gifting, beautifully handled. The Rattan Valise arrives wrapped and ready — bestsellers inside, keepsake outside.",The Rattan Valise — wrapped and ready.
BOF-082,BOF,B-GIFTSET,Looks expensive,Rattan Basket,The gift that arrives looking expensive.,Shop gift sets.,"The gift that arrives looking expensive. Hand-woven rattan, filled with bestsellers. Gifting, sorted.",A rattan gift set that looks luxe.
BOF-083,BOF,B-GIFTSET,Covers all,Exfoliate & Nourish Set,One set. Every base covered.,Shop the set.,"One set, every base covered. The Exfoliate & Nourish Set is the gift that does it all — and gets used.",The set that does it all.
BOF-084,BOF,B-GIFTSET,Keep basket,Rattan Basket,She'll keep the basket forever.,Shop the basket.,She'll keep the basket forever. A rattan keepsake plus body care she'll actually use. The Rattan Basket.,Rattan keepsake + bestsellers inside.
BOF-085,BOF,B-GIFTSET,Anniversary,Rattan Valise,Anniversary sorted in one click.,Shop the valise.,"Anniversary, sorted in one click. The Rattan Valise is a gift that lasts long past the date. Wrapped and ready.",The Rattan Valise — anniversary-ready.
BOF-086,BOF,B-GIFTSET,Whole ritual,Exfoliate & Nourish Set,"Give the whole ritual, not just a piece.",Shop the set.,"Give the whole ritual, not just a piece. The Exfoliate & Nourish Set is ready to gift — glow included.","The complete ritual, ready to gift."
BOF-087,BOF,B-GIFTSET,Where from,Rattan Valise,The 'where did you get that?' gift.,Shop gift sets.,"The 'where did you get that?' gift. Rattan, ribbon, and bestsellers inside. Give something they'll ask about.",The gift they'll ask about.
BOF-088,BOF,B-GIFTSET,Birthday,Exfoliate & Nourish Set,"Birthdays handled, beautifully.",Shop the set.,"Birthdays, handled beautifully. A body care set worth unwrapping — and worth keeping. The Exfoliate & Nourish Set.",The birthday gift worth unwrapping.
BOF-089,BOF,B-PROOF,Repurchased,Coffee Scrub,"""I've repurchased four times.""",Shop bestsellers.,"""I've repurchased four times"" — and she's not alone. Find out what the fuss is about. The Coffee Scrub.",5 stars: 'I've repurchased four times.'
BOF-090,BOF,B-PROOF,Smoothest,Coffee Scrub,"""My legs have never been this smooth.""",Shop the scrub.,"""My legs have never been this smooth."" Real words, real skin. Join the thousands who made the switch. The Coffee Scrub.",5 stars: 'Never been this smooth.'
BOF-091,BOF,B-PROOF,10k loved,Coffee Scrub,"10,000+ smoother showers and counting.",Join them.,"10,000+ smoother showers and counting. See why the Coffee Scrub keeps selling out — then never run low again.","Loved by 10,000+ and counting."
BOF-092,BOF,B-PROOF,Actually finish,Range,"""The only body product I actually finish.""",Shop now.,"""The only body product I actually finish."" Real words from real skin. Meet the body care you'll use to the last drop.",5 stars: 'The only one I finish.'
BOF-093,BOF,B-PROOF,Rated 4.9,Coffee Scrub,"Rated 4.9. Earned, not bought.",See the reviews.,"Rated 4.9 — earned, not bought. Thousands of reviews can't all be wrong. Meet the Coffee Scrub.",Rated 4.9 from thousands of reviews.
BOF-094,BOF,B-PROOF,Gifted obsessed,Gift Set,"""Gifted it. Now they're obsessed too.""",Shop gifts.,"""Gifted it. Now they're obsessed too."" The body care that converts everyone. Find their next favourite.","5 stars: 'Gifted it, now they're obsessed.'"
BOF-095,BOF,B-ZODIAC,Gemini,Bestsellers,"Happy birthday, Gemini. Here's 15% off.","Treat yourself, Gemini.","Happy birthday, Gemini. Your glow deserves a gift too — take 15% off with code GEMINI15. It's written in the stars.",15% off for Gemini — code GEMINI15.
BOF-096,BOF,B-ZODIAC,Cancer,Range,"It's your season, Cancer. Glow accordingly.",Shop your birthday.,"It's your season, Cancer — glow accordingly. Take 15% off your birthday edit with code CANCER15.",15% off for Cancer — code CANCER15.
BOF-097,BOF,B-ZODIAC,Leo,Range,Leo season = your season. Take 15% off.,"Treat yourself, Leo.",Leo season is your season. Self-gifting is written in the stars — take 15% off with code LEO15.,15% off for Leo — code LEO15.
BOF-098,BOF,B-ZODIAC,Virgo,Range,"Virgo, you've earned a little softness.",Shop your birthday.,"Virgo, you've earned a little softness. Take 15% off your birthday glow with code VIRGO15.",15% off for Virgo — code VIRGO15.
BOF-099,BOF,B-ZODIAC,Generic code,Range,The stars say: treat yourself. (15% off.),Claim your code.,"The stars say: treat yourself. It's your birthday month — take 15% off with your sign's code, [SIGN]15.",15% off in your birthday month.
BOF-100,BOF,B-ZODIAC,Generic edit,Bestsellers,"A birthday glow, written in the stars.",Shop your birthday edit.,"A birthday glow, written in the stars. Take 15% off your sign's season with code [SIGN]15.",15% off your birthday edit — [SIGN]15.
